,n_rounds,utt_some,utt_Listener-Win,numPins,numColors,speakerStrategy,listenerStrategy,utt_none,utt_Speaker-Win
0,5,4.0,1.0,4,2,greedyUncoop,stochasticUncoop,0.0,0.0
1,3,1.0,1.0,4,2,greedyUncoop,stochasticUncoop,1.0,0.0
2,5,3.0,1.0,4,2,greedyUncoop,stochasticUncoop,1.0,0.0
3,7,6.0,1.0,4,2,greedyUncoop,stochasticUncoop,0.0,0.0
4,3,2.0,1.0,4,2,greedyUncoop,stochasticUncoop,0.0,0.0
5,7,5.0,1.0,4,2,greedyUncoop,stochasticUncoop,1.0,0.0
6,1,0.0,1.0,4,2,greedyUncoop,stochasticUncoop,0.0,0.0
7,6,4.0,1.0,4,2,greedyUncoop,stochasticUncoop,1.0,0.0
8,5,3.0,1.0,4,2,greedyUncoop,stochasticUncoop,1.0,0.0
9,6,4.0,1.0,4,2,greedyUncoop,stochasticUncoop,1.0,0.0
10,9,7.0,0.0,4,2,greedyUncoop,stochasticUncoop,1.0,1.0
11,4,3.0,1.0,4,2,greedyUncoop,stochasticUncoop,0.0,0.0
12,2,1.0,1.0,4,2,greedyUncoop,stochasticUncoop,0.0,0.0
13,7,6.0,1.0,4,2,greedyUncoop,stochasticUncoop,0.0,0.0
14,5,4.0,1.0,4,2,greedyUncoop,stochasticUncoop,0.0,0.0
15,6,4.0,1.0,4,2,greedyUncoop,stochasticUncoop,1.0,0.0
